Date,Open,High,Low,Close,Adj Close,Volume,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Net_Position_NonComm,Net_Position_Comm,Net_Position_NonRept,COT_Index_NonComm,COT_Index_Comm,COT_Index_NonRept,COT_Index_OI,OI_Percentage_Comm,OI_Percentage_Short
2023-05-09,75.6500015258789,76.44999694824219,75.6500015258789,76.2750015258789,76.2750015258789,584,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230279.0,60549.0,80243.0,86354.0,67553.0,26115.0,25222.0,-19694.0,18801.0,893.0,,,,,,
2023-05-10,76.5,76.9749984741211,76.42500305175781,76.57499694824219,76.57499694824219,459,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230279.0,60549.0,80243.0,86354.0,67553.0,26115.0,25222.0,-19694.0,18801.0,893.0,,,,,,
2023-05-11,76.67500305175781,76.94999694824219,76.55000305175781,76.5999984741211,76.5999984741211,821,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230279.0,60549.0,80243.0,86354.0,67553.0,26115.0,25222.0,-19694.0,18801.0,893.0,,,,,,
2023-05-12,76.625,77.125,76.625,76.625,76.625,20634,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230279.0,60549.0,80243.0,86354.0,67553.0,26115.0,25222.0,-19694.0,18801.0,893.0,,,,,,
2023-05-15,84.05000305175781,86.94999694824219,83.82499694824219,86.1500015258789,86.1500015258789,22548,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230026.0,61581.0,87656.0,85995.0,62258.0,25402.0,23064.0,-26075.0,23737.0,2338.0,,,,,,
2023-05-16,86.0999984741211,87.3499984741211,86.07499694824219,87.19999694824219,87.19999694824219,23204,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230026.0,61581.0,87656.0,85995.0,62258.0,25402.0,23064.0,-26075.0,23737.0,2338.0,,,,,,
2023-05-17,87.5999984741211,87.82499694824219,84.32499694824219,84.875,84.875,29130,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230026.0,61581.0,87656.0,85995.0,62258.0,25402.0,23064.0,-26075.0,23737.0,2338.0,,,,,,
2023-05-18,84.875,85.75,83.3499984741211,85.30000305175781,85.30000305175781,22037,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230026.0,61581.0,87656.0,85995.0,62258.0,25402.0,23064.0,-26075.0,23737.0,2338.0,,,,,,
2023-05-19,84.5250015258789,84.92500305175781,82.82499694824219,83.0250015258789,83.0250015258789,19511,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,230026.0,61581.0,87656.0,85995.0,62258.0,25402.0,23064.0,-26075.0,23737.0,2338.0,,,,,,
2023-05-22,83.44999694824219,83.82499694824219,81.67500305175781,81.82499694824219,81.82499694824219,15224,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233692.0,59120.0,87854.0,90332.0,63709.0,25031.0,22920.0,-28734.0,26623.0,2111.0,,,,,,
2023-05-23,81.82499694824219,82.17500305175781,79.7750015258789,80.67500305175781,80.67500305175781,16559,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233692.0,59120.0,87854.0,90332.0,63709.0,25031.0,22920.0,-28734.0,26623.0,2111.0,,,,,,
2023-05-24,80.67500305175781,81.4749984741211,79.4000015258789,79.80000305175781,79.80000305175781,11693,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233692.0,59120.0,87854.0,90332.0,63709.0,25031.0,22920.0,-28734.0,26623.0,2111.0,,,,,,
2023-05-25,79.1500015258789,79.25,77.0250015258789,77.6500015258789,77.6500015258789,14023,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233692.0,59120.0,87854.0,90332.0,63709.0,25031.0,22920.0,-28734.0,26623.0,2111.0,,,,,,
2023-05-26,77.25,77.7249984741211,75.44999694824219,76.07499694824219,76.07499694824219,9845,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233692.0,59120.0,87854.0,90332.0,63709.0,25031.0,22920.0,-28734.0,26623.0,2111.0,,,,,,
2023-05-30,76.57499694824219,80.82499694824219,76.55000305175781,80.82499694824219,80.82499694824219,11725,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233015.0,60033.0,93885.0,88003.0,57598.0,24705.0,21258.0,-33852.0,30405.0,3447.0,,,,,,
2023-05-31,81.32499694824219,82.92500305175781,81.32499694824219,82.57499694824219,82.57499694824219,10925,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233015.0,60033.0,93885.0,88003.0,57598.0,24705.0,21258.0,-33852.0,30405.0,3447.0,,,,,,
2023-06-01,83.0250015258789,84.0250015258789,82.1500015258789,83.55000305175781,83.55000305175781,10316,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233015.0,60033.0,93885.0,88003.0,57598.0,24705.0,21258.0,-33852.0,30405.0,3447.0,,,,,,
2023-06-02,84.0,87.0,83.8499984741211,86.7249984741211,86.7249984741211,12729,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233015.0,60033.0,93885.0,88003.0,57598.0,24705.0,21258.0,-33852.0,30405.0,3447.0,,,,,,
2023-06-05,85.5,86.05000305175781,84.82499694824219,85.32499694824219,85.32499694824219,7853,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,233015.0,60033.0,93885.0,88003.0,57598.0,24705.0,21258.0,-33852.0,30405.0,3447.0,,,,,,
