"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"SOYBEANS - CHICAGO BOARD OF TRADE",240109,2024-01-09,005602,CBT ,00,005 ,  658250,   99237,  137286,  130556,  378409,  324789,  608202,  592631,   50048,   65619,  556705,   93395,  103267,  106759,  312137,  294316,  512291,  504342,   44414,   52363,  101545,   22706,   50883,    6933,   66272,   30473,   95911,   88289,    5634,   13256,   18760,    -573,   15548,    6891,   11847,   -6435,   18165,   16004,     595,    2756,  100.0,   15.1,   20.9,   19.8,   57.5,   49.3,   92.4,   90.0,    7.6,   10.0,  100.0,   16.8,   18.5,   19.2,   56.1,   52.9,   92.0,   90.6,    8.0,    9.4,  100.0,   22.4,   50.1,    6.8,   65.3,   30.0,   94.5,   86.9,    5.5,   13.1,    512,    114,    142,    148,    174,    207,    381,    415,    502,    121,    129,    132,    165,    189,    360,    383,    282,     41,     76,     39,     71,    130,    143,    216,    13.8,    14.1,    23.2,    23.9,    10.4,    12.8,    18.1,    20.2,    15.0,    16.6,    25.4,    27.6,    11.4,    15.1,    19.7,    23.4,    19.5,    21.9,    37.1,    32.6,    18.9,    21.4,    35.9,    31.4,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"SOYBEANS - CHICAGO BOARD OF TRADE",240102,2024-01-02,005602,CBT ,00,005 ,  639490,   99810,  121738,  123665,  366562,  331224,  590037,  576627,   49453,   62863,  541335,   96026,   95166,   97612,  303687,  298618,  497325,  491396,   44010,   49939,   98155,   23454,   46242,    6383,   62875,   32606,   92712,   85231,    5443,   12924,    2457,    2316,   12318,    2736,    5170,   -9452,   10222,    5602,   -7765,   -3145,  100.0,   15.6,   19.0,   19.3,   57.3,   51.8,   92.3,   90.2,    7.7,    9.8,  100.0,   17.7,   17.6,   18.0,   56.1,   55.2,   91.9,   90.8,    8.1,    9.2,  100.0,   23.9,   47.1,    6.5,   64.1,   33.2,   94.5,   86.8,    5.5,   13.2,    502,    118,    128,    149,    171,    202,    377,    409,    491,    125,    116,    130,    161,    182,    356,    370,    269,     40,     74,     35,     68,    121,    134,    206,    13.8,    14.6,    23.2,    24.4,    10.4,    13.2,    17.9,    20.4,    14.8,    17.2,    24.7,    28.3,    10.8,    15.6,    19.3,    23.6,    21.9,    22.2,    39.0,    32.8,    21.3,    21.7,    37.7,    31.3,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"NJ SRECS - ICE FUTURES ENERGY DIV",240123,2024-01-23,0063CC,IFED,01,006 ,   85213,   19405,    4476,    3070,   62738,   77667,   85213,   85213,       0,       0,   85213,   19405,    4476,    3070,   62738,   77667,   85213,   85213,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     100,    -530,      70,     230,     400,    -200,     100,     100,       0,       0,  100.0,   22.8,    5.3,    3.6,   73.6,   91.1,  100.0,  100.0,    0.0,    0.0,  100.0,   22.8,    5.3,    3.6,   73.6,   91.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      4,      3,      4,     18,     10,     23,     16,     27,      4,      3,      4,     18,     10,     23,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.2,    93.0,    72.4,    97.5,    45.0,    91.6,    70.5,    92.2,    46.2,    93.0,    72.4,    97.5,    45.0,    91.6,    70.5,    92.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"NJ SRECS - ICE FUTURES ENERGY DIV",240116,2024-01-16,0063CC,IFED,01,006 ,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      5,      2,      4,     17,     10,     22,     16,     27,      5,      2,      4,     17,     10,     22,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"NJ SRECS - ICE FUTURES ENERGY DIV",240109,2024-01-09,0063CC,IFED,01,006 ,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      5,      2,      4,     17,     10,     22,     16,     27,      5,      2,      4,     17,     10,     22,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"NJ SRECS - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CC,IFED,01,006 ,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,   85113,   19935,    4406,    2840,   62338,   77867,   85113,   85113,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      25,      25,       0,       0,       0,      25,      25,      25,       0,       0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,  100.0,   23.4,    5.2,    3.3,   73.2,   91.5,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      5,      2,      4,     17,     10,     22,     16,     27,      5,      2,      4,     17,     10,     22,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",240123,2024-01-23,0063CH,IFED,01,006 ,  214068,   34233,   47705,   18210,  161611,  148153,  214054,  214068,      14,       0,  214068,   34233,   47705,   18210,  161611,  148153,  214054,  214068,      14,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     739,    -807,    -934,    1148,     397,     525,     738,     739,       1,       0,  100.0,   16.0,   22.3,    8.5,   75.5,   69.2,  100.0,  100.0,    0.0,    0.0,  100.0,   16.0,   22.3,    8.5,   75.5,   69.2,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      8,      7,      8,     26,     19,     38,     30,     47,      8,      7,      8,     26,     19,     38,     30,      0,      0,      0,      0,      0,      0,      0,      0,    54.3,    48.4,    72.8,    76.3,    49.2,    47.5,    67.6,    71.9,    54.3,    48.4,    72.8,    76.3,    49.2,    47.5,    67.6,    71.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",240116,2024-01-16,0063CH,IFED,01,006 ,  213329,   35040,   48639,   17062,  161214,  147628,  213316,  213329,      13,       0,  213329,   35040,   48639,   17062,  161214,  147628,  213316,  213329,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6533,     417,    1294,    6804,    -688,   -1565,    6533,    6533,       0,       0,  100.0,   16.4,   22.8,    8.0,   75.6,   69.2,  100.0,  100.0,    0.0,    0.0,  100.0,   16.4,   22.8,    8.0,   75.6,   69.2,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      8,      7,      9,     26,     19,     38,     31,     47,      8,      7,      9,     26,     19,     38,     31,      0,      0,      0,      0,      0,      0,      0,      0,    54.9,    48.4,    73.6,    75.3,    50.4,    47.2,    68.9,    72.4,    54.9,    48.4,    73.6,    75.3,    50.4,    47.2,    68.9,    72.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",240109,2024-01-09,0063CH,IFED,01,006 ,  206796,   34623,   47345,   10258,  161902,  149193,  206783,  206796,      13,       0,  206796,   34623,   47345,   10258,  161902,  149193,  206783,  206796,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     889,    -859,     195,    2496,    -748,   -1802,     889,     889,       0,       0,  100.0,   16.7,   22.9,    5.0,   78.3,   72.1,  100.0,  100.0,    0.0,    0.0,  100.0,   16.7,   22.9,    5.0,   78.3,   72.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     48,      8,      7,      9,     25,     20,     38,     32,     48,      8,      7,      9,     25,     20,     38,     32,      0,      0,      0,      0,      0,      0,      0,      0,    53.7,    49.6,    72.9,    77.6,    52.3,    48.3,    71.4,    74.7,    53.7,    49.6,    72.9,    77.6,    52.3,    48.3,    71.4,    74.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CH,IFED,01,006 ,  205907,   35482,   47150,    7762,  162650,  150995,  205894,  205907,      13,       0,  205907,   35482,   47150,    7762,  162650,  150995,  205894,  205907,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4476,    1735,    2246,      50,    2691,    2180,    4476,    4476,       0,       0,  100.0,   17.2,   22.9,    3.8,   79.0,   73.3,  100.0,  100.0,    0.0,    0.0,  100.0,   17.2,   22.9,    3.8,   79.0,   73.3,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      8,      7,      8,     24,     19,     37,     30,     47,      8,      7,      8,     24,     19,     37,     30,      0,      0,      0,      0,      0,      0,      0,      0,    53.3,    49.9,    72.5,    78.5,    53.3,    48.5,    72.5,    75.6,    53.3,    49.9,    72.5,    78.5,    53.3,    48.5,    72.5,    75.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 "
"CALIF LOW CARBON FSC-OPIS - ICE FUTURES ENERGY DIV",240123,2024-01-23,0063CU,IFED,01,006 ,   29379,   15300,   12731,    1379,   12698,   15269,   29377,   29379,       2,       0,   29379,   15300,   12731,    1379,   12698,   15269,   29377,   29379,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      35,   -1118,     548,     320,     833,    -833,      35,      35,       0,       0,  100.0,   52.1,   43.3,    4.7,   43.2,   52.0,  100.0,  100.0,    0.0,    0.0,  100.0,   52.1,   43.3,    4.7,   43.2,   52.0,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,     16,      5,      3,     12,      9,     29,     17,     35,     16,      5,      3,     12,      9,     29,     17,      0,      0,      0,      0,      0,      0,      0,      0,    68.4,    86.9,    83.2,    95.3,    65.9,    84.3,    80.5,    90.3,    68.4,    86.9,    83.2,    95.3,    65.9,    84.3,    80.5,    90.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 "
"CALIF LOW CARBON FSC-OPIS - ICE FUTURES ENERGY DIV",240116,2024-01-16,0063CU,IFED,01,006 ,   29344,   16418,   12183,    1059,   11865,   16102,   29342,   29344,       2,       0,   29344,   16418,   12183,    1059,   11865,   16102,   29342,   29344,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      83,      33,    1226,       0,      50,   -1143,      83,      83,       0,       0,  100.0,   56.0,   41.5,    3.6,   40.4,   54.9,  100.0,  100.0,    0.0,    0.0,  100.0,   56.0,   41.5,    3.6,   40.4,   54.9,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     18,      4,      4,     11,      8,     30,     16,     36,     18,      4,      4,     11,      8,     30,     16,      0,      0,      0,      0,      0,      0,      0,      0,    64.9,    89.4,    80.1,    95.9,    64.1,    88.5,    78.6,    93.7,    64.9,    89.4,    80.1,    95.9,    64.1,    88.5,    78.6,    93.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 "
"CALIF LOW CARBON FSC-OPIS - ICE FUTURES ENERGY DIV",240109,2024-01-09,0063CU,IFED,01,006 ,   29261,   16385,   10957,    1059,   11815,   17245,   29259,   29261,       2,       0,   29261,   16385,   10957,    1059,   11815,   17245,   29259,   29261,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -135,    -350,     150,      10,     205,    -295,    -135,    -135,       0,       0,  100.0,   56.0,   37.4,    3.6,   40.4,   58.9,  100.0,  100.0,    0.0,    0.0,  100.0,   56.0,   37.4,    3.6,   40.4,   58.9,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,     18,      5,      4,     11,      8,     30,     17,     37,     18,      5,      4,     11,      8,     30,     17,      0,      0,      0,      0,      0,      0,      0,      0,    62.4,    89.9,    78.2,    96.0,    61.6,    89.0,    76.8,    93.9,    62.4,    89.9,    78.2,    96.0,    61.6,    89.0,    76.8,    93.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 "
"CALIF LOW CARBON FSC-OPIS - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CU,IFED,01,006 ,   29396,   16735,   10807,    1049,   11610,   17540,   29394,   29396,       2,       0,   29396,   16735,   10807,    1049,   11610,   17540,   29394,   29396,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3816,    1149,    1116,   -2136,   -2829,   -2796,   -3816,   -3816,       0,       0,  100.0,   56.9,   36.8,    3.6,   39.5,   59.7,  100.0,  100.0,    0.0,    0.0,  100.0,   56.9,   36.8,    3.6,   39.5,   59.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,     19,      5,      4,     11,      9,     31,     18,     38,     19,      5,      4,     11,      9,     31,     18,      0,      0,      0,      0,      0,      0,      0,      0,    61.9,    90.0,    78.1,    96.1,    61.0,    89.2,    76.5,    94.0,    61.9,    90.0,    78.1,    96.1,    61.0,    89.2,    76.5,    94.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 "
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",240123,2024-01-23,0063CW,IFED,01,006 ,   10077,    5516,    4013,     699,    3819,    5235,   10034,    9947,      43,     130,   10077,    5516,    4013,     699,    3819,    5235,   10034,    9947,      43,     130,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     809,     492,      59,     102,     213,     668,     807,     829,       2,     -20,  100.0,   54.7,   39.8,    6.9,   37.9,   51.9,   99.6,   98.7,    0.4,    1.3,  100.0,   54.7,   39.8,    6.9,   37.9,   51.9,   99.6,   98.7,    0.4,    1.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     40,      7,     18,      6,      9,     10,     20,     30,     40,      7,     18,      6,      9,     10,     20,     30,      0,      0,      0,      0,      0,      0,      0,      0,    74.7,    44.7,    88.0,    68.8,    70.3,    36.1,    78.0,    56.2,    74.7,    44.7,    88.0,    68.8,    70.3,    36.1,    78.0,    56.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 "
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",240116,2024-01-16,0063CW,IFED,01,006 ,    9268,    5024,    3954,     597,    3606,    4567,    9227,    9118,      41,     150,    9268,    5024,    3954,     597,    3606,    4567,    9227,    9118,      41,     150,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     107,     267,     103,     -13,    -150,      16,     104,     106,       3,       1,  100.0,   54.2,   42.7,    6.4,   38.9,   49.3,   99.6,   98.4,    0.4,    1.6,  100.0,   54.2,   42.7,    6.4,   38.9,   49.3,   99.6,   98.4,    0.4,    1.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,      7,     17,      7,      7,     10,     17,     31,     38,      7,     17,      7,      7,     10,     17,     31,      0,      0,      0,      0,      0,      0,      0,      0,    75.4,    43.8,    88.3,    67.0,    71.4,    39.5,    81.2,    58.1,    75.4,    43.8,    88.3,    67.0,    71.4,    39.5,    81.2,    58.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 "
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",240109,2024-01-09,0063CW,IFED,01,006 ,    9161,    4757,    3851,     610,    3756,    4551,    9123,    9012,      38,     149,    9161,    4757,    3851,     610,    3756,    4551,    9123,    9012,      38,     149,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3880,    -881,    -438,    -146,   -2822,   -2917,   -3849,   -3501,     -31,    -379,  100.0,   51.9,   42.0,    6.7,   41.0,   49.7,   99.6,   98.4,    0.4,    1.6,  100.0,   51.9,   42.0,    6.7,   41.0,   49.7,   99.6,   98.4,    0.4,    1.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      7,     15,      8,      7,     10,     19,     28,     36,      7,     15,      8,      7,     10,     19,     28,      0,      0,      0,      0,      0,      0,      0,      0,    74.3,    44.2,    87.7,    66.6,    70.4,    39.7,    79.7,    58.3,    74.3,    44.2,    87.7,    66.6,    70.4,    39.7,    79.7,    58.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 "
